title,release_year,age_certification,runtime,language,genres,production_countries,seasons,imdb_score,imdb_votes
Jiva!,2021,TV-MA,38,English,['drama'],['ZA'],1.0,5.5,263.0
I Heart Arlo,2021,TV-Y7,15,English,"['comedy', 'family', 'animation']",['US'],1.0,7.0,204.0
Canine Intervention,2021,TV-14,35,English,"['documentation', 'reality']",['US'],1.0,6.5,886.0
Reasonable Doubt: A Tale of Two Kidnappings,2021,TV-MA,47,Spanish,"['crime', 'documentation']",['MX'],1.0,7.6,179.0
Under Suspicion: Uncovering the Wesphael Case,2021,TV-14,36,"French, English","['crime', 'documentation']",[],1.0,6.3,727.0
Metal Shop Masters,2021,TV-MA,0,English,['reality'],['US'],1.0,5.6,546.0
Titletown High,2021,TV-14,34,English,"['reality', 'sport']",['US'],1.0,5.4,318.0
Magic for Humans Spain,2021,TV-MA,23,Spanish,"['reality', 'comedy']",['ES'],1.0,6.0,77.0
Let's Fight Ghost,2021,TV-14,65,Thai,"['drama', 'action', 'fantasy', 'horror', 'romance']",['TH'],1.0,7.5,98.0
The Snitch Cartel: Origins,2021,TV-MA,48,Spanish,"['crime', 'drama']",[],1.0,5.6,182.0
How to Be A Cowboy,2021,TV-PG,25,English,['reality'],['US'],1.0,6.8,145.0
Stories of a Generation - with Pope Francis,2021,TV-14,46,English,['documentation'],['IT'],1.0,7.4,202.0
Bangkok Breaking,2021,TV-MA,60,Thai,"['drama', 'thriller', 'action', 'crime']",['TH'],1.0,5.9,281.0
Kayko and Kokosh,2021,TV-PG,13,Polish,"['animation', 'comedy', 'fantasy', 'action']",['PL'],2.0,6.3,314.0
Juanpis González - The Series,2022,TV-MA,26,Spanish,"['comedy', 'drama']",['CO'],1.0,6.8,339.0
Let's Eat,2021,TV-14,60,Thai,"['drama', 'comedy']",['TH'],1.0,8.2,5.0
Jailbirds New Orleans,2021,TV-MA,41,English,"['documentation', 'reality']",['US'],1.0,6.6,205.0
Bombay Begums,2021,TV-MA,49,Hindi,['drama'],['IN'],1.0,5.3,4841.0
Team Zenko Go,2022,TV-Y,20,"English, Spanish","['action', 'animation', 'family']",['US'],1.0,7.2,21.0
We Are: The Brooklyn Saints,2021,TV-14,47,English,"['documentation', 'sport']",['US'],1.0,6.5,156.0
Buried by the Bernards,2021,TV-14,0,English,['reality'],['US'],1.0,7.3,339.0
Summer Heat,2022,TV-MA,48,Portuguese,"['drama', 'romance']",['BR'],1.0,5.5,265.0
Newton's Cradle,2021,TV-14,41,"Arabic, English","['drama', 'thriller']",['EG'],1.0,8.0,1565.0
Navarasa,2021,TV-MA,34,Tamil,['drama'],['IN'],1.0,5.9,3470.0
I Need Romance,2021,TV-14,45,Thai,"['drama', 'romance']",['TH'],1.0,7.8,24.0
The Five Juanas,2021,TV-MA,34,Spanish,['drama'],['MX'],1.0,6.9,1728.0
Abla Fahita: Drama Queen,2021,TV-14,25,"Arabic, Turkish, English","['drama', 'comedy', 'crime']",['XX'],1.0,6.6,433.0
Christmas Flow,2021,TV-MA,50,French,"['music', 'romance', 'comedy']",['FR'],1.0,5.8,702.0
Korean Cold Noodle Rhapsody,2021,TV-PG,49,Korean,['documentation'],['KR'],1.0,7.3,15.0
Pitta Kathalu,2021,TV-MA,37,N/A,"['drama', 'romance']",['IN'],1.0,5.1,727.0
The Big Day,2021,TV-MA,45,N/A,"['reality', 'romance']",['US'],2.0,4.6,327.0
