title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,Language
Hello Ninja,SHOW,2019,TV-Y,13,"['animation', 'action', 'comedy', 'family', 'fantasy']",['CA'],4.0,tt10687170,6.7,119.0,"English, Spanish"
Stay Tuned!,SHOW,2019,TV-14,46,['comedy'],['JP'],1.0,tt10088086,7.5,343.0,Japanese
Say I Do,SHOW,2020,TV-14,55,['reality'],"['GB', 'US']",1.0,tt12540060,7.7,527.0,English
Sintonia,SHOW,2019,TV-MA,44,"['crime', 'drama', 'music']",['BR'],2.0,tt8165086,6.7,1067.0,Portuguese
The Writer,SHOW,2019,TV-14,34,"['drama', 'crime']",['LB'],1.0,tt10312958,8.2,30.0,Arabic
Bread Barbershop,SHOW,2020,TV-Y,11,['animation'],['KR'],2.0,tt12912830,7.3,125.0,English
Booba: Food Puzzle,SHOW,2020,TV-Y,3,"['animation', 'comedy', 'family']",[],1.0,tt12319946,8.3,30.0,None
COMEDIANS of the world,SHOW,2019,TV-MA,30,['comedy'],[],1.0,tt8685446,6.5,450.0,English
The Queen and the Conqueror,SHOW,2020,TV-14,46,"['history', 'drama']",['CO'],1.0,tt10348700,6.6,172.0,Spanish
Skin Decision: Before and After,SHOW,2020,TV-MA,36,['reality'],['US'],1.0,tt12588326,5.8,405.0,English
The Fabulous Lives of Bollywood Wives,SHOW,2020,TV-MA,32,"['reality', 'documentation', 'romance']",['IN'],1.0,tt13452100,5.3,9666.0,Hindi
El Final del Paraíso,SHOW,2019,TV-MA,50,"['action', 'drama']",['MX'],1.0,tt10367818,5.1,208.0,Spanish
Typewriter,SHOW,2019,TV-MA,50,"['thriller', 'horror', 'drama']",['IN'],1.0,tt9310372,6.5,3788.0,Hindi
How To Ruin Christmas,SHOW,2020,TV-MA,50,"['drama', 'comedy']",['ZA'],2.0,tt13492362,6.1,488.0,"Zulu, English, Sotho, Tswana"
Trigger Warning with Killer Mike,SHOW,2019,TV-MA,26,"['documentation', 'comedy']",['US'],1.0,tt9426194,6.9,1249.0,N/A
Masaba Masaba,SHOW,2020,TV-MA,31,"['comedy', 'drama']",['IN'],2.0,tt10655506,6.8,1746.0,Hindi
Astronomy Club: The Sketch Show,SHOW,2019,TV-MA,20,['comedy'],['US'],1.0,tt10675488,6.9,591.0,English
Styling Hollywood,SHOW,2019,TV-14,37,['reality'],['US'],1.0,tt10715202,6.6,355.0,N/A
Narcoworld: Dope Stories,SHOW,2019,TV-MA,40,"['crime', 'documentation']",['US'],1.0,tt11215112,6.6,317.0,English
Sugar Rush Christmas,SHOW,2019,TV-PG,50,['reality'],['US'],2.0,tt11168116,6.8,578.0,English
Queer Eye: We're in Japan!,SHOW,2019,TV-14,50,['reality'],['US'],1.0,tt10971532,8.2,2560.0,"English, Japanese"
Bard of Blood,SHOW,2019,TV-MA,45,"['action', 'drama', 'thriller']",['IN'],2.0,tt8069036,6.8,13210.0,Hindi
Find Yourself,SHOW,2020,TV-14,45,"['drama', 'romance']",['CN'],1.0,tt11569628,7.6,201.0,Chinese
21 Again,SHOW,2019,TV-MA,52,"['documentation', 'reality']",[],1.0,tt9315008,5.4,47.0,English
Archibald's Next Big Thing,SHOW,2019,TV-Y7,24,"['scifi', 'animation', 'comedy', 'family', 'fantasy', 'action']",['US'],2.0,tt9165404,7.5,284.0,English
Prank Encounters,SHOW,2019,TV-MA,25,"['comedy', 'horror', 'reality', 'scifi']",['US'],2.0,tt10487072,5.2,2615.0,English
The Iliza Shlesinger Sketch Show,SHOW,2020,TV-MA,19,['comedy'],['US'],1.0,tt11092086,5.0,914.0,N/A
Go! Go! Cory Carson,SHOW,2020,TV-Y,9,"['animation', 'comedy', 'family']",['US'],6.0,tt8115702,7.9,238.0,English
DeMarcus Family Rules,SHOW,2020,TV-14,29,['reality'],['US'],1.0,tt12759420,6.2,110.0,English
My Dear Warrior,SHOW,2019,TV-14,42,"['fantasy', 'romance']",['TH'],1.0,tt11281912,4.6,19.0,Thai
Pili Fantasy: War of Dragons,SHOW,2019,TV-14,0,"['animation', 'action', 'fantasy']",[],1.0,tt10619658,6.7,37.0,Chinese
Team Kaylie,SHOW,2019,TV-PG,30,['comedy'],['US'],3.0,tt9717424,4.0,333.0,English
Tobot Galaxy Detectives,SHOW,2020,TV-Y7,13,['animation'],[],2.0,tt12892186,7.0,13.0,"English, Korean"
Put Your Head on My Shoulder,SHOW,2019,TV-Y7,40,"['drama', 'romance', 'comedy']",['CN'],1.0,tt10265158,8.0,2063.0,"Mandarin, Chinese"
GAME ON: A Comedy Crossover Event,SHOW,2020,TV-G,29,"['comedy', 'family']",['US'],2.0,tt12800428,5.4,213.0,English
The Underclass,SHOW,2020,TV-MA,55,['drama'],['TH'],1.0,tt12666950,6.4,62.0,N/A
Cricket Fever: Mumbai Indians,SHOW,2019,TV-MA,38,"['documentation', 'sport']",['IN'],1.0,tt8531592,7.2,699.0,N/A
